run_id,repeat,fold,calibration_crossfit_fold,outer_train_position,y_true,raw_oof_probability,crossfitted_sigmoid_probability
R1_F1,1,1,1,0,0,0.0633482327439722,0.059719218547128826
R1_F1,1,1,1,11,1,0.6912623130383101,0.5956014791832411
R1_F1,1,1,1,22,1,0.8332984316013702,0.7518738216553609
R1_F1,1,1,1,27,1,0.7102934025948896,0.6150803961879836
R1_F1,1,1,1,35,0,0.1136755703211648,0.10140685180412803
R1_F1,1,1,1,38,0,0.2628455907489463,0.22042401466865816
R1_F1,1,1,1,39,0,0.2916717501405398,0.24344425957279012
R1_F1,1,1,1,40,0,0.3677883152164902,0.3050259467342297
R1_F1,1,1,1,55,0,0.1451842418757244,0.12681629122831672
R1_F1,1,1,1,66,0,0.0520152595857293,0.050002444269154504
R1_F1,1,1,1,70,0,0.1230707620364692,0.10902065668174203
R1_F1,1,1,1,74,0,0.2527881489232056,0.21241718925793565
R1_F1,1,1,1,80,1,0.553137528209516,0.4637604667686652
R1_F1,1,1,1,81,0,0.3996848671847925,0.33131013085514355
R1_F1,1,1,1,88,0,0.2306834750033942,0.19484952321225646
R1_F1,1,1,1,91,0,0.1073885845861866,0.096289814188617
R1_F1,1,1,1,109,0,0.6518832131766275,0.5564208681463433
R1_F1,1,1,1,118,0,0.2119501857106374,0.17997852764680777
R1_F1,1,1,1,125,0,0.1006958200194711,0.09082028485372604
R1_F1,1,1,1,127,0,0.0739633657810079,0.06868143431196676
R1_F1,1,1,1,128,1,0.6909031500716716,0.5952374317059588
R1_F1,1,1,1,131,1,0.4023370680908887,0.3335111627766311
R1_F1,1,1,1,132,1,0.5594038185652587,0.46943611828303494
R1_F1,1,1,1,138,0,0.5812572289352482,0.48942972766192383
R1_F1,1,1,1,140,1,0.6696130090709865,0.5738825143319396
R1_F1,1,1,1,160,0,0.2460118616526746,0.20702799545453596
R1_F1,1,1,1,169,0,0.1128783548103221,0.10075903147164826
R1_F1,1,1,1,172,0,0.7882246825562705,0.6992444584473164
R1_F1,1,1,1,176,0,0.3896514749867878,0.32300581122783756
R1_F1,1,1,1,181,0,0.825658350966043,0.7427104106258001
R1_F1,1,1,1,183,0,0.1768805603058562,0.1521184552034079
R1_F1,1,1,1,184,0,0.1134010914821749,0.101183842187443
R1_F1,1,1,1,185,0,0.4777405854930527,0.3972590315809521
R1_F1,1,1,1,189,0,0.1569199383618203,0.1362062718029015
R1_F1,1,1,1,192,0,0.3632611977177927,0.3013215526609601
R1_F1,1,1,1,194,0,0.5036502060964071,0.41976218789807174
R1_F1,1,1,1,198,0,0.2804125474189508,0.23443835455448864
R1_F1,1,1,1,199,0,0.1432915132645583,0.1252988247043223
R1_F1,1,1,1,200,0,0.3095840646947167,0.25781766646680604
R1_F1,1,1,1,202,1,0.6316299790898406,0.536808307695596
R1_F1,1,1,1,211,0,0.360549245440821,0.2991053551641969
R1_F1,1,1,1,227,0,0.5833098265640527,0.4913241537978271
R1_F1,1,1,1,231,1,0.5692430152761352,0.47839880149396496
R1_F1,1,1,1,236,0,0.0738542410595025,0.06858988537059181
R1_F1,1,1,1,244,0,0.6273724749268897,0.5327286992443779
R1_F1,1,1,1,251,0,0.2403399565401036,0.20251992530839807
R1_F1,1,1,1,271,0,0.2093565987965384,0.17791991071131977
R1_F1,1,1,1,274,0,0.0972649686632149,0.08800670015338691
R1_F1,1,1,1,275,1,0.143291648728149,0.12529893334348652
R1_F1,1,1,1,276,0,0.2999507401548215,0.2500801013025569
R1_F1,1,1,1,279,0,0.2851863017727296,0.23825425729776817
R1_F1,1,1,1,284,0,0.6302336773820444,0.5354687347792964
R1_F1,1,1,1,285,0,0.1837962973120773,0.15761917672677428
R1_F1,1,1,1,290,0,0.5062524190685939,0.42204142350944285
R1_F1,1,1,1,295,0,0.3826692020866344,0.3172469737768041
R1_F1,1,1,1,298,1,0.8877152216647609,0.8206010651420155
R1_F1,1,1,1,306,0,0.414827058681229,0.3439108578153522
R1_F1,1,1,1,312,0,0.1812767156293181,0.15561569027757644
R1_F1,1,1,1,313,0,0.7647302413785421,0.6730507351465082
R1_F1,1,1,1,326,0,0.596928000392516,0.5039677567225487
R1_F1,1,1,1,333,0,0.2403497433488855,0.20252770198948392
R1_F1,1,1,1,348,0,0.5706248600638649,0.47966262316455216
R1_F1,1,1,1,360,1,0.2725887084987597,0.22819166671424687
R1_F1,1,1,1,362,0,0.4370546447212309,0.3625666255035681
R1_F1,1,1,1,364,0,0.6302108620136103,0.535446859475968
R1_F1,1,1,1,366,0,0.2798958487465572,0.23402554020384803
R1_F1,1,1,1,367,1,0.5771117093382584,0.4856124734529526
R1_F1,1,1,1,376,1,0.6455444079110431,0.5502452945114241
R1_F1,1,1,1,379,0,0.2249607207841611,0.19030581086560042
R1_F1,1,1,1,386,0,0.1200095138571912,0.10654386856212522
R1_F1,1,1,1,393,0,0.2144594368961781,0.1819701685348907
R1_F1,1,1,1,395,0,0.1434148877746062,0.12539776666390093
R1_F1,1,1,1,399,0,0.1669477167092811,0.14420790638835393
R1_F1,1,1,1,407,0,0.0854566199883269,0.07826497098701737
R1_F1,1,1,1,417,0,0.5451124253134177,0.4565276481233059
R1_F1,1,1,1,418,0,0.6896522401172979,0.5939705155886994
R1_F1,1,1,1,420,0,0.1789681186749609,0.15377941338181617
R1_F1,1,1,1,424,0,0.5623064712086212,0.4720736592593937
R1_F1,1,1,1,425,0,0.2394283710344968,0.2017955990928849
R1_F1,1,1,1,434,0,0.048163338323339,0.04665740484503959
R1_F1,1,1,1,443,0,0.5039937685383604,0.4200629021749837
R1_F1,1,1,1,449,0,0.075251831450122,0.06976153334707152
R1_F1,1,1,1,452,0,0.0982225994453866,0.08879274189843021
R1_F1,1,1,1,461,0,0.3640150263571758,0.30193796264538725
R1_F1,1,1,1,467,1,0.4863978093404744,0.40474038892133624
R1_F1,1,1,1,469,0,0.3364440182561817,0.2794967686273141
R1_F1,1,1,1,480,1,0.2122120345087138,0.18018636295315305
R1_F1,1,1,1,483,0,0.4417151088332451,0.36650358586025805
R1_F1,1,1,1,504,0,0.384984972350312,0.31915518264851894
R1_F1,1,1,1,506,0,0.2093241536156647,0.17789415744239678
R1_F1,1,1,1,509,1,0.1837378251725186,0.15757268846244193
R1_F1,1,1,1,511,1,0.4066534766824394,0.3370987054278713
R1_F1,1,1,1,512,0,0.784186130159546,0.6946860695053632
R1_F1,1,1,1,521,1,0.76194994888461,0.6700012689967029
R1_F1,1,1,1,522,0,0.2959233966257624,0.2468505379535764
R1_F1,1,1,1,524,0,0.5206974415343539,0.43476035830337123
R1_F1,1,1,1,526,0,0.1543525429681372,0.13415462016923857
R1_F1,1,1,1,531,0,0.2948453774499706,0.24598656335019997
R1_F1,1,1,1,536,0,0.6660116616207312,0.5703126331679612
R1_F1,1,1,1,541,0,0.255395800395824,0.21449216790718234
R1_F1,1,1,1,543,0,0.1457419758209775,0.12726327146867056
