run_id,inner_fold,outer_train_position,y_true,raw_oof_hybrid_probability
R1_F1,1,9,1,0.7612646248443765
R1_F1,1,11,1,0.6912623130383101
R1_F1,1,22,1,0.8332984316013702
R1_F1,1,38,0,0.26284559074894637
R1_F1,1,50,1,0.7578497691414094
R1_F1,1,53,0,0.24586611181894266
R1_F1,1,55,0,0.14518424187572446
R1_F1,1,70,0,0.12307076203646922
R1_F1,1,71,1,0.8972989187531825
R1_F1,1,75,0,0.22092093852497877
R1_F1,1,78,0,0.2524080988414028
R1_F1,1,79,1,0.6713062311955489
R1_F1,1,81,0,0.3996848671847925
R1_F1,1,88,0,0.23068347500339423
R1_F1,1,91,0,0.10738858458618661
R1_F1,1,102,0,0.4471317951535179
R1_F1,1,105,1,0.2401470507453074
R1_F1,1,109,0,0.6518832131766275
R1_F1,1,110,1,0.6311185350266912
R1_F1,1,115,0,0.011145210582892575
R1_F1,1,121,0,0.07281872871071227
R1_F1,1,124,0,0.23149047971455752
R1_F1,1,126,0,0.6366296871881342
R1_F1,1,127,0,0.07396336578100791
R1_F1,1,128,1,0.6909031500716716
R1_F1,1,131,1,0.4023370680908887
R1_F1,1,135,0,0.5844084147490024
R1_F1,1,138,0,0.5812572289352482
R1_F1,1,146,0,0.495049948154665
R1_F1,1,147,1,0.5611370526971149
R1_F1,1,158,0,0.06462501457685217
R1_F1,1,160,0,0.2460118616526746
R1_F1,1,161,1,0.5165160144388631
R1_F1,1,172,0,0.7882246825562705
R1_F1,1,176,0,0.38965147498678787
R1_F1,1,184,0,0.11340109148217492
R1_F1,1,187,1,0.7271581065670247
R1_F1,1,189,0,0.15691993836182036
R1_F1,1,192,0,0.3632611977177927
R1_F1,1,194,0,0.5036502060964071
R1_F1,1,195,1,0.13983416752446876
R1_F1,1,197,1,0.5664820714778157
R1_F1,1,198,0,0.28041254741895083
R1_F1,1,200,0,0.3095840646947167
R1_F1,1,205,0,0.5221041575124107
R1_F1,1,208,0,0.4006532530201221
R1_F1,1,211,0,0.36054924544082106
R1_F1,1,212,1,0.5026241750487961
R1_F1,1,227,0,0.5833098265640527
R1_F1,1,237,0,0.13938559740938325
R1_F1,1,240,1,0.3211257536589904
R1_F1,1,246,0,0.3253992588727089
R1_F1,1,250,0,0.33004753898489964
R1_F1,1,252,1,0.7544412673231627
R1_F1,1,257,0,0.055817785771679375
R1_F1,1,260,0,0.20213211644496087
R1_F1,1,269,0,0.4215023203182136
R1_F1,1,271,0,0.20935659879653845
R1_F1,1,272,0,0.20271121289013605
R1_F1,1,274,0,0.09726496866321499
R1_F1,1,275,1,0.14329164872814903
R1_F1,1,285,0,0.18379629731207733
R1_F1,1,290,0,0.5062524190685939
R1_F1,1,299,0,0.1671155580335362
R1_F1,1,302,0,0.5543983139513864
R1_F1,1,305,0,0.6258072641503944
R1_F1,1,308,0,0.32193610086645397
R1_F1,1,312,0,0.18127671562931813
R1_F1,1,317,0,0.29440582251472797
R1_F1,1,318,1,0.5417396136127229
R1_F1,1,321,1,0.3856297769037744
R1_F1,1,323,0,0.23145213143436125
R1_F1,1,325,1,0.08821802130493961
R1_F1,1,328,0,0.08584187166192277
R1_F1,1,331,0,0.05204217240251985
R1_F1,1,355,0,0.12309294953084733
R1_F1,1,364,0,0.6302108620136103
R1_F1,1,365,0,0.33346646500598537
R1_F1,1,376,1,0.6455444079110431
R1_F1,1,377,0,0.042986828221604025
R1_F1,1,379,0,0.22496072078416118
R1_F1,1,382,0,0.6943736022562224
R1_F1,1,392,0,0.13333063182072308
R1_F1,1,393,0,0.21445943689617816
R1_F1,1,395,0,0.14341488777460623
R1_F1,1,402,0,0.04563999044404519
R1_F1,1,407,0,0.08545661998832697
R1_F1,1,416,1,0.775305079334295
R1_F1,1,421,1,0.35525005430010187
R1_F1,1,428,0,0.10613745257258078
R1_F1,1,431,0,0.1754774588869937
R1_F1,1,434,0,0.04816333832333902
R1_F1,1,441,1,0.5589037291581607
R1_F1,1,442,1,0.3571055142705724
R1_F1,1,462,1,0.7287390335300947
R1_F1,1,469,0,0.3364440182561817
R1_F1,1,481,0,0.5334755498055096
R1_F1,1,483,0,0.4417151088332451
R1_F1,1,489,1,0.20098063041821881
R1_F1,1,495,1,0.4628442213547368
R1_F1,1,501,1,0.7252456231247408
R1_F1,1,504,0,0.38498497235031204
R1_F1,1,505,0,0.4706107213767865
R1_F1,1,515,1,0.7912305415274995
R1_F1,1,521,1,0.76194994888461
R1_F1,1,526,0,0.15435254296813727
R1_F1,1,531,0,0.29484537744997064
R1_F1,1,533,1,0.15667306759277555
R1_F1,1,534,0,0.4175055811465163
R1_F1,1,548,0,0.5356559399315148
R1_F1,1,551,0,0.06567963306653014
R1_F1,1,561,0,0.4437727963456671
R1_F1,1,564,1,0.7469077761088743
R1_F1,1,569,0,0.28376348539417984
R1_F1,1,576,1,0.34661552573644383
R1_F1,1,585,1,0.6826153195104138
R1_F1,1,589,0,0.5244750760688648
R1_F1,1,593,1,0.7568838172412473
R1_F1,1,594,0,0.07229826840205278
R1_F1,1,595,0,0.03207493853868689
R1_F1,1,597,0,0.23574966144776108
R1_F1,1,598,1,0.049004655752339456
R1_F1,1,604,1,0.6709972775152017
R1_F1,1,610,0,0.0467638441831378
R1_F1,1,617,0,0.4219906544836163
R1_F1,1,618,0,0.037989675618182
R1_F1,1,629,1,0.796372477828918
R1_F1,1,630,0,0.07123143321270835
R1_F1,1,635,1,0.2686448579992113
R1_F1,1,651,0,0.054048064775841474
R1_F1,1,653,1,0.7128891735250208
R1_F1,1,655,0,0.28752000456713395
R1_F1,1,657,0,0.35387039922243696
R1_F1,1,674,0,0.10866450484421457
R1_F1,1,678,1,0.3551896203645751
R1_F1,1,683,0,0.18891248342445097
R1_F1,1,684,0,0.0777479350976646
R1_F1,1,693,0,0.7400159631712598
R1_F1,1,695,0,0.29283365414404866
R1_F1,1,696,0,0.6589547489609618
R1_F1,1,703,1,0.4666845450047503
R1_F1,1,704,0,0.09951912611170706
R1_F1,1,723,0,0.1576201071400061
R1_F1,1,733,1,0.6243224718017708
R1_F1,1,736,1,0.878064051975163
R1_F1,1,740,0,0.7113836865183315
R1_F1,1,745,1,0.7504870623728346
R1_F1,1,752,0,0.1698240012995754
R1_F1,1,758,1,0.19524797781651737
R1_F1,1,765,0,0.2966012549427192
R1_F1,1,766,0,0.14184734732982104
R1_F1,1,768,0,0.04640691119474849
R1_F1,1,771,1,0.07219824774527317
R1_F1,1,776,0,0.37603709077522796
R1_F1,1,779,1,0.7597388117480185
R1_F1,1,780,1,0.8607368554403125
R1_F1,1,783,0,0.1583244592465535
R1_F1,1,790,0,0.14546200194605705
R1_F1,1,794,0,0.07299873578146802
R1_F1,1,796,0,0.41622392312439443
R1_F1,2,0,0,0.06334823274397228
R1_F1,2,16,0,0.16847594594261858
R1_F1,2,17,0,0.02577602473794896
R1_F1,2,23,0,0.4335797325927037
R1_F1,2,32,0,0.6540952334174581
R1_F1,2,33,0,0.29367287053065044
R1_F1,2,51,1,0.8630097827679596
R1_F1,2,54,0,0.2741021844511817
R1_F1,2,57,1,0.4847120781841627
R1_F1,2,58,0,0.2586506033920595
R1_F1,2,62,0,0.12973544673626944
R1_F1,2,68,1,0.10752935046812641
R1_F1,2,69,0,0.19940905712775034
R1_F1,2,72,0,0.07206802251944089
R1_F1,2,80,1,0.553137528209516
R1_F1,2,82,0,0.34235092578685716
R1_F1,2,86,0,0.41676061934963554
R1_F1,2,87,1,0.3317017920170655
R1_F1,2,90,1,0.3165307854266017
R1_F1,2,94,0,0.11425424028213672
R1_F1,2,98,1,0.5218851752719185
R1_F1,2,100,1,0.8035987267043834
R1_F1,2,107,0,0.12492246306052557
R1_F1,2,120,1,0.5056710218919144
R1_F1,2,123,0,0.02549880240110645
R1_F1,2,125,0,0.10069582001947115
R1_F1,2,130,0,0.26846174191542604
R1_F1,2,134,1,0.1450682273922366
R1_F1,2,140,1,0.6696130090709865
R1_F1,2,141,1,0.5184961018899862
R1_F1,2,144,0,0.10791398658399981
R1_F1,2,150,1,0.48235906439280685
R1_F1,2,163,0,0.06778944498762908
R1_F1,2,164,0,0.29571243584714474
R1_F1,2,170,0,0.7632245491859444
R1_F1,2,173,0,0.18557149344600213
R1_F1,2,174,0,0.35101380508911456
R1_F1,2,179,1,0.5037198360053208
R1_F1,2,190,0,0.4520423463321867
R1_F1,2,191,0,0.11269443960321689
R1_F1,2,202,1,0.6316299790898406
R1_F1,2,209,0,0.041089814246867064
R1_F1,2,214,0,0.06826241828795153
R1_F1,2,218,0,0.16146776872926263
R1_F1,2,219,1,0.20956712140721642
R1_F1,2,221,0,0.05736903783048524
R1_F1,2,225,0,0.9123785326926068
R1_F1,2,226,0,0.701043847722523
R1_F1,2,230,0,0.08686135854628912
R1_F1,2,236,0,0.07385424105950257
R1_F1,2,247,1,0.7011751863322511
R1_F1,2,253,1,0.7227014941106059
R1_F1,2,268,0,0.7140515187866511
R1_F1,2,282,1,0.18533603005508711
R1_F1,2,286,0,0.4557411368244589
R1_F1,2,296,0,0.3907843023229984
R1_F1,2,300,0,0.14748688513928526
R1_F1,2,304,0,0.1755338049795424
R1_F1,2,306,0,0.414827058681229
R1_F1,2,322,0,0.007111637190395914
R1_F1,2,324,0,0.12868708622897163
R1_F1,2,327,1,0.1985872984157846
R1_F1,2,334,0,0.20054807178381026
R1_F1,2,339,0,0.09811215511739918
R1_F1,2,346,0,0.1317778712830288
R1_F1,2,347,0,0.47356348376990054
R1_F1,2,348,0,0.5706248600638649
R1_F1,2,356,0,0.2973964630990176
R1_F1,2,358,1,0.7496397837178114
R1_F1,2,360,1,0.27258870849875977
R1_F1,2,366,0,0.27989584874655726
R1_F1,2,367,1,0.5771117093382584
R1_F1,2,371,1,0.4152127500759626
R1_F1,2,383,0,0.4836001294363526
R1_F1,2,384,0,0.14769918968720086
R1_F1,2,385,0,0.0753573929123869
R1_F1,2,390,1,0.8259093061017738
R1_F1,2,400,1,0.6677412270241967
R1_F1,2,405,1,0.5840715157709938
R1_F1,2,415,0,0.04843863115757328
R1_F1,2,418,0,0.6896522401172979
R1_F1,2,422,0,0.38465921058019187
R1_F1,2,426,1,0.4222497839966331
R1_F1,2,427,1,0.28535762064253484
R1_F1,2,433,0,0.09091002969257693
R1_F1,2,438,1,0.5655347055412504
R1_F1,2,444,1,0.6229949884139723
R1_F1,2,445,1,0.5423751800082064
R1_F1,2,448,1,0.6287185002061796
R1_F1,2,449,0,0.07525183145012201
R1_F1,2,452,0,0.0982225994453866
R1_F1,2,454,0,0.38300438130894143
R1_F1,2,455,0,0.25591054398717666
R1_F1,2,464,1,0.7604857745320396
R1_F1,2,467,1,0.48639780934047444
R1_F1,2,472,1,0.3604467657192448
R1_F1,2,477,0,0.16087854247139224
